хорхе луис борхес | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jorge-Luis-Borges.html 1 
author saling tag | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/writing/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/books/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/books/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/reading/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/reading/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/authors/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/literature/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/8/index.html 1 
author speaker | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Eleanor-Roosevelt.html 1 
author speaker deal | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Eleanor-Roosevelt.html 1 
author stepheni | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/simile/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/simile/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/drug/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/romance/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/6/index.html 1 
author stepheni meyer | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/simile/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/simile/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/drug/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/romance/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/6/index.html 1 
author steve | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/obvious/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/simile/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/simile/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
author steve martin | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/obvious/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/simile/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/simile/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
author storytel | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Garrison-Keillor.html 1 
author storytel humorist | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Garrison-Keillor.html 1 
author suspicion | https://cs.brown.edu/courses/csci1380/sandbox/4/author/E-E-Cummings.html 1 
author suspicion espionag | https://cs.brown.edu/courses/csci1380/sandbox/4/author/E-E-Cummings.html 1 
author suzann | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/page/7/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/the-hunger-games/page/1/index.html 1 
author suzann collin | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/page/7/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/the-hunger-games/page/1/index.html 1 
author tag | https://cs.brown.edu/courses/csci1380/sandbox/4/page/8/index.html 1 
author tag author | https://cs.brown.edu/courses/csci1380/sandbox/4/page/8/index.html 1 
author terri | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/thinking/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/open-mind/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/8/index.html 1 
author terri pratchett | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/thinking/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/humor/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/open-mind/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/8/index.html 1 
author thoma | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/page/1/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/edison/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/failure/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/paraphrased/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
author thoma edison | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/page/1/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/edison/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/failure/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/paraphrased/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
author tolkien | https://cs.brown.edu/courses/csci1380/sandbox/4/page/7/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/bilbo/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/journey/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/lost/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/quest/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/travel/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/wander/page/1/index.html 1 
author tolkien tag | https://cs.brown.edu/courses/csci1380/sandbox/4/page/7/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/bilbo/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/journey/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/lost/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/quest/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/travel/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/wander/page/1/index.html 1 
author william | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/reading/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/reading/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/misattributed-to-c-s-lewis/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/4/index.html 1 
author william nicholson | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/reading/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/reading/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/misattributed-to-c-s-lewis/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/4/index.html 1 
author winner | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Andre-Gide.html 1 
author winner nobel | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Andre-Gide.html 1 
author wrote | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/writing/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/books/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/books/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/reading/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/reading/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/authors/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/literature/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/8/index.html 1 
author wrote terrif | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/writing/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/books/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/books/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/reading/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/reading/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/authors/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/literature/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/8/index.html 1 
autobiograph | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Andre-Gide.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/James-Baldwin.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
autobiograph account | https://cs.brown.edu/courses/csci1380/sandbox/4/author/James-Baldwin.html 1 
autobiograph account youth | https://cs.brown.edu/courses/csci1380/sandbox/4/author/James-Baldwin.html 1 
autobiograph affair | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
autobiograph affair clemenceau | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
autobiograph gide | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Andre-Gide.html 1 
autobiograph gide expos | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Andre-Gide.html 1 
autobiographi | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-K-Rowling.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
autobiographi hon | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-K-Rowling.html 1 
autobiographi hon rebel | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-K-Rowling.html 1 
autobiographi keller | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
autobiographi keller joyou | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
avail | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Albert-Einstein.html 3 
avail forc | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Albert-Einstein.html 3 
avail forc capabl | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Albert-Einstein.html 3 
avant | https://cs.brown.edu/courses/csci1380/sandbox/4/author/E-E-Cummings.html 1 
avant gard | https://cs.brown.edu/courses/csci1380/sandbox/4/author/E-E-Cummings.html 1 
avant gard writer | https://cs.brown.edu/courses/csci1380/sandbox/4/author/E-E-Cummings.html 1 
avoid | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/7/index.html 1 
avoid entangl | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/7/index.html 1 
avoid entangl lock | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/7/index.html 1 
awaken | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
awaken soul | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
awaken soul light | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
award | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 7 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Terry-Pratchett.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jim-Henson.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Martin-Luther-King-Jr.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Suzanne-Collins.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jimi-Hendrix.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-K-Rowling.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Steve-Martin.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Elie-Wiesel.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Pablo-Neruda.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Stephenie-Meyer.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
award award | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
award award winner | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
award congression | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Martin-Luther-King-Jr.html 1 
award congression gold | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Martin-Luther-King-Jr.html 1 
award courag | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jim-Henson.html 1 
award courag conscienc | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jim-Henson.html 1 
award croix | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-K-Rowling.html 1 
award croix guerr | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-K-Rowling.html 1 
award fantasi | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Terry-Pratchett.html 1 
award fantasi life | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Terry-Pratchett.html 1 
award includ | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Suzanne-Collins.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jimi-Hendrix.html 1 
award includ induct | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jimi-Hendrix.html 1 
award includ peach | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Suzanne-Collins.html 1 
award légion | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
award légion honneur | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Alexandre-Dumas-fils.html 1 
award lifetim | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jimi-Hendrix.html 1 
award lifetim posthum | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jimi-Hendrix.html 1 
award name | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Terry-Pratchett.html 1 
award name offic | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Terry-Pratchett.html 1 
award nation | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Stephenie-Meyer.html 1 
award nation merit | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Stephenie-Meyer.html 1 
award nobel | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Elie-Wiesel.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 
award nobel peac | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Elie-Wiesel.html 1 
award nobel prize | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 
award nomin | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
award nomin children | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
award nomin david | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 
award perform | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 
award perform hot | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 
award plai | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
award plai adapt | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
award polit | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Pablo-Neruda.html 1 
award polit activ | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Pablo-Neruda.html 1 
award presidenti | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Martin-Luther-King-Jr.html 1 
award presidenti medal | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Martin-Luther-King-Jr.html 1 
award public | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
award public blue | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
award receiv | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 
award receiv golden | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 
award request | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 
award request financ | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 
award septemb | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jim-Henson.html 1 
award sequel | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
award sequel slave | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
award sir | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Terry-Pratchett.html 1 
award sir terri | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Terry-Pratchett.html 1 
award win | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jim-Henson.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
award win broadwai | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
award win televis | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Jim-Henson.html 1 
award winner | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
award winner sweet | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
ayn | https://cs.brown.edu/courses/csci1380/sandbox/4/page/8/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ayn-Rand.html 2 
ayn finnish | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ayn-Rand.html 1 
ayn finnish author | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ayn-Rand.html 1 
ayn rand | https://cs.brown.edu/courses/csci1380/sandbox/4/page/8/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ayn-Rand.html 1 
ayn rand author | https://cs.brown.edu/courses/csci1380/sandbox/4/page/8/index.html 1 
ayn rand born | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Ayn-Rand.html 1 
ayn rand classic | https://cs.brown.edu/courses/csci1380/sandbox/4/page/8/index.html 1 
ayot | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 
ayot lawrenc | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 
ayot lawrenc hous | https://cs.brown.edu/courses/csci1380/sandbox/4/author/George-Bernard-Shaw.html 1 
babi | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/page/1/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/friends/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/friends/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/heartbreak/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/sisters/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Madeleine-LEngle.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Suzanne-Collins.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-M-Barrie.html 1 
babi boi | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-M-Barrie.html 1 
babi boi magic | https://cs.brown.edu/courses/csci1380/sandbox/4/author/J-M-Barrie.html 1 
babi girl | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Madeleine-LEngle.html 1 
babi girl write | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Madeleine-LEngle.html 1 
babi hate | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/page/1/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/friends/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/friends/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/heartbreak/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/sisters/page/1/index.html 1 
babi hate pretti | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/page/1/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/2/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/love/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/inspirational/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/friends/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/friends/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/heartbreak/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/sisters/page/1/index.html 1 
babi head | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Suzanne-Collins.html 1 
babi head writer | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Suzanne-Collins.html 1 
bachelor | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Garrison-Keillor.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Khaled-Hosseini.html 1 
bachelor degre | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Garrison-Keillor.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/Khaled-Hosseini.html 1 
bachelor degre biologi | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Khaled-Hosseini.html 1 
bachelor degre english | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Garrison-Keillor.html 1 
background | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
background spoken | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
background spoken hush | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Helen-Keller.html 1 
backyard | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Suzanne-Collins.html 1 
backyard book | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Suzanne-Collins.html 1 
backyard book success | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Suzanne-Collins.html 1 
bad | https://cs.brown.edu/courses/csci1380/sandbox/4/page/7/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/alcohol/page/1/index.html 1 
bad drink | https://cs.brown.edu/courses/csci1380/sandbox/4/page/7/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/alcohol/page/1/index.html 1 
bad drink attempt | https://cs.brown.edu/courses/csci1380/sandbox/4/page/7/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/alcohol/page/1/index.html 1 
bafta | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
bafta award | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 
bafta award nomin | https://cs.brown.edu/courses/csci1380/sandbox/4/author/Marilyn-Monroe.html 1 
bafta televis | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
bafta televis drama | https://cs.brown.edu/courses/csci1380/sandbox/4/author/William-Nicholson.html 1 
bag | https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/misattributed-eleanor-roosevelt/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
bag strong | https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/misattributed-eleanor-roosevelt/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
bag strong hot | https://cs.brown.edu/courses/csci1380/sandbox/4 1 https://cs.brown.edu/courses/csci1380/sandbox/4/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/misattributed-eleanor-roosevelt/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/1/index.html 1 
balanc | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/simile/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/simile/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/5/index.html 1 
balanc move | https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/page/1/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/simile/page/1/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/life/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/tag/simile/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/4/page/5/index.html 1 
